date,lsi_raw,lsi_smooth,lsi_lo,lsi_hi,contrib_m1,contrib_m2,contrib_m3,contrib_m4,contrib_m5
2016-01-01,39.62979780492756,36.675567544711676,34.06000017707973,39.29113491234362,0.0,10.955381252745015,0.0,16.972146194728783,8.748040097237881
2016-01-11,36.59695993178174,36.24223744241121,33.42021815310114,39.06425673172128,12.252999244103568,8.406466169024917,0.0,9.820887460956092,5.761884568326633
2016-01-12,35.56385702266849,35.727556495225855,32.634992359059325,38.820120631392385,12.9764280809128,6.057507107182918,0.0,8.723087707142438,7.970533599987697
2016-01-13,34.911655419468914,35.29676955412316,31.92408650293634,38.66945260530998,9.739304450012325,6.5498666394432625,5.53476997819098,7.152870234820578,6.319958251656014
2016-01-14,34.50891703320934,34.247261042926894,30.48040878753635,38.01411329831744,9.1896170177234,6.0582900641235256,5.1193778151388045,6.3852454009174915,7.4947307450236735
2016-01-15,33.15415175929909,33.584844420219085,29.433802311061825,37.735886529376344,9.714073888456975,6.348497868807516,5.364609288269712,6.449267676248903,5.708395698435979
2016-01-18,32.712047907506985,33.02547432318649,28.543014972546853,37.507933673826116,9.990154234429493,6.225963452149381,5.26106522425313,6.561967828932045,4.986323583422433
2016-01-19,32.28323822655367,32.41206712173461,27.634461303258256,37.18967294021096,10.434531010077226,4.722085219153238,5.227919537566209,6.756311499419638,5.271219855518299
2016-01-20,31.960043572827082,31.680368531856782,26.636550896279626,36.72418616743394,8.98457022031033,5.5605008834757985,5.529689160318916,6.284248617515504,5.321359650236233
2016-01-21,31.648266343440326,30.966382394645958,25.74666181367837,36.18610297561355,8.167595087865383,5.061217701204918,5.03317259485314,5.912787663629871,6.791609347092644
2016-01-22,30.617805009305762,30.177909228096695,24.84503988408672,35.51077857210667,8.789527348080949,5.093133581542179,5.064911623627948,6.144097653923898,5.086239020921724
2016-01-25,29.387026904064555,29.189116037135737,24.190386936207638,34.187845138063835,8.207742050641043,5.058717150030363,5.030685899676838,6.680718521944859,4.211252414842634
2016-01-26,28.156248798823345,28.08878389148882,23.283438315060334,32.89412946791731,7.696376502496994,3.499609262357213,4.727266248050722,6.458868959826785,5.706662918757109
2016-01-27,27.192735741662112,26.93390067275032,22.33047890843022,31.53732243707042,7.160991102337986,4.706935847806322,4.924539469962679,6.574767533443751,3.566666719199583
