date,m1_fact,m1_need,m1_shift,m1_ruo,m1_vol,m1_MinRate,m1_MaxRate,m1_shift_mad,m1_ruo_mad,m1_Flag_EndOfPeriod,m2_Ключевая_ставка,m2_Спрос,m2_Размещение,m2_Ставка_отсечения,m2_Средневзвешенная_ставка,m2_Срок,m2_Cover_ratio,m2_Rate_spread,m2_Flag_Demand,m2_MAD_score_cover,m2_MAD_score_rate_spread,m3_volume_offer,m3_volume_demand,m3_volume_placement,m3_cover_ratio,m3_yield_avg,m3_yield_spread,m3_flag_nedospros,m3_flag_perespros,m3_mad_score_cover,m3_mad_score_yield,m3_mad_score_yield_spread,m4_year,m4_month,m4_day,m4_day_type_code,m4_n_events_html,m4_n_important,m4_tax_event_weight,m4_Акцизы,m4_Бух отчетность,m4_Валютный контроль,m4_Водный налог,m4_Декларирование спирт,m4_ЕНВД,m4_ЕНП,m4_ЕСХН,m4_Земельный налог,m4_Контролируемые сделки,m4_Косвенные налоги,m4_НДПИ,m4_НДС,m4_НДФЛ,m4_НПД,m4_Налог на доп доход,m4_Налог на игорный бизнес,m4_Налог на имущество орг,m4_Налог на имущество физ,m4_Налог на прибыль,m4_Налог на сверхприбыль,m4_Налоговый мониторинг,m4_Отчетность отходы,m4_Перс учет,m4_Плата НВОС,m4_Подтверждение ОКВЭД,m4_Прослеживаемость,m4_Регулярные платежи недра,m4_Сбор водные биоресурсы,m4_Среднесписочная,m4_Страхование НС и ПЗ,m4_Страховые взносы,m4_Торговый сбор,m4_Транспортный налог,m4_Туристический налог,m4_УСН,m4_Упрощ декларирование,m4_Экологический сбор,m5_liquidity_deficit,m5_liquidity_deficit_ex_corr,m5_corr_accounts,m5_required_reserves,m5_reserve_buffer,m5_treasury_pressure,m5_treasury_pressure_ma7,m5_MAD_score_treasury_pressure,m5_MAD_score_liquidity_deficit,m5_is_month_end,m5_flag_stress,Tax_Week_Flag,Seasonal_Factor_sin,Seasonal_Factor_cos,_raw_stress_teacher,_m4_tax_kick,LSI_teacher,LSI_hgb_abs,LSI_gbr_huber,LSI_xgb_pseudohuber,LSI_lgbm_huber,LSI_cat_huber,LSI_ensemble,LSI_dlinear_tsl,LSI_ensemble_tax_adj,LSI_lgbm_tuned,LSI_lgbm_tuned_tax_adj,LSI_lgbm_local,LSI_local_teacher,LSI_lgbm_local_short_90,LSI_lgbm_local_mid_180,LSI_lgbm_local_long_365,LSI_lgbm_local_multi,LSI_structural,LSI_lgbm_stable,LSI_event_contribution,LSI_lgbm_clean,zone_tuned_naive,zone_stable_hyst,LSI_zone
2010-01-11,476.2196428571429,203.5,272.7196428571429,2.98,64.56,,,1.2062318906541216,-1.758333331868055,1.0,,,,,,,,,,,,,,,,,,,,,,,2010,1,11,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.18809941761179758,0.9821499931752291,0.3336168479497648,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
2010-01-12,476.2196428571429,203.5,272.7196428571429,3.1,62.19,,,1.2062318906541216,-1.6583333319513884,1.0,,,,,,,,,,,,,,,,,,,,,,,2010,1,12,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.20496611396949532,0.9787690698649216,0.3336168479497648,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
2010-01-13,476.2196428571429,203.5,272.7196428571429,3.4,83.47,,,1.2062318906541216,-1.4285714273709476,1.0,,,,,,,,,,,,,,,,,,,,,,,2010,1,13,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.22177215755648186,0.975098513039961,0.3336168479497648,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
2010-01-14,476.2196428571429,203.5,272.7196428571429,3.59,79.41,,,1.2062318906541216,-1.2689075619589005,1.0,,,,,,,,,,,,,,,,,,,,,,,2010,1,14,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.23851257519407648,0.9711394088771653,0.3336168479497648,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
2010-01-15,476.2196428571429,203.5,272.7196428571429,4.21,63.9,,,1.2062318906541216,-0.7627118637604141,0.0,,,,,,,,,,,,,,,,,,,,,,,2010,1,15,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.2551824131233728,0.9668929289391521,0.2976168479497648,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
2010-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,1,16,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.2717767384711357,0.9623603298276545,0.275,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
2010-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,1,17,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.2882906407095177,0.9575429528116719,0.275,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
2010-01-18,476.2196428571429,203.5,272.7196428571429,3.36,78.26,,,1.2893926095159343,-1.4915254224648093,0.0,,,,,,,,,,,,,,,,,,,,,,,2010,1,18,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.3047192331091634,0.9524422234305676,0.2991761114284238,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
2010-01-19,476.2196428571429,203.5,272.7196428571429,3.39,77.1,,,1.2893926095159343,-1.4661016936727953,0.0,,,,,,,,,,,,,,,,,,,,,,,2010,1,19,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.321057654185271,0.9470596510722283,0.2991761114284238,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
2010-01-20,476.2196428571429,203.5,272.7196428571429,4.1,76.74,,,1.2893926095159343,-0.8644067789284694,0.0,,,,,,,,,,,,,,,,,,,,,,,2010,1,20,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.3373010691361842,0.9413968285264122,0.2991761114284238,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
2010-01-21,476.2196428571429,203.5,272.7196428571429,4.02,72.74,,,1.2893926095159343,-0.9655172405469677,0.0,,,,,,,,,,,,,,,,,,,,,,,2010,1,21,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.3534446712740877,0.9354554315134164,0.2991761114284238,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
2010-01-22,476.2196428571429,203.5,272.7196428571429,5.41,88.36,,,1.2893926095159343,0.2307692305719925,0.0,,,,,,,,,,,,,,,,,,,,,,,2010,1,22,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.3694836834473831,0.9292372181882051,0.3035030345016486,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
2010-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,1,23,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.38541335945432564,0.9227440286201427,0.275,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
